Entry Date,Exit Date,Entry Price,Exit Price,Return (%),Direction
2015-03-26,2015-07-07,8342.15,8510.8,-2.02,Short
2015-07-07,2015-08-25,8510.8,7880.7,-7.4,Long
2015-08-25,2015-10-20,7880.7,8261.65,-4.83,Short
2015-10-20,2015-11-23,8261.65,7849.25,-4.99,Long
2015-11-23,2016-03-21,7849.25,7704.25,1.85,Short
2016-03-21,2016-10-19,7704.25,8659.1,12.39,Long
2016-10-19,2017-01-16,8659.1,8412.8,2.84,Short
2017-01-16,2017-09-08,8412.8,9934.8,18.09,Long
2017-09-08,2017-09-12,9934.8,10093.05,-1.59,Short
2017-09-12,2017-12-21,10093.05,10440.3,3.44,Long
2017-12-21,2017-12-29,10440.3,10530.7,-0.87,Short
2017-12-29,2018-02-27,10530.7,10554.3,0.22,Long
2018-02-27,2018-04-24,10554.3,10614.35,-0.57,Short
2018-04-24,2018-09-28,10614.35,10930.45,2.98,Long
2018-09-28,2018-11-30,10930.45,10876.75,0.49,Short
2018-11-30,2019-02-21,10876.75,10789.85,-0.8,Long
2019-02-21,2019-02-27,10789.85,10806.65,-0.16,Short
2019-02-27,2019-05-24,10806.65,11844.1,9.6,Long
2019-05-24,2019-06-04,11844.1,12021.65,-1.5,Short
2019-06-04,2019-07-19,12021.65,11419.25,-5.01,Long
2019-07-19,2019-09-30,11419.25,11474.45,-0.48,Short
2019-09-30,2020-02-11,11474.45,12107.9,5.52,Long
2020-02-11,2020-05-18,12107.9,8823.25,27.13,Short
2020-05-18,2021-04-06,8823.25,14683.5,66.42,Long
2021-04-06,2021-05-20,14683.5,14906.05,-1.52,Short
2021-05-20,2021-11-25,14906.05,17536.25,17.65,Long
2021-11-25,2022-01-14,17536.25,18255.75,-4.1,Short
2022-01-14,2022-02-15,18255.75,17352.45,-4.95,Long
2022-02-15,2022-04-05,17352.45,17957.4,-3.49,Short
2022-04-05,2022-05-11,17957.4,16167.1,-9.97,Long
2022-05-11,2022-07-22,16167.1,16719.45,-3.42,Short
2022-07-22,2022-10-07,16719.45,17314.65,3.56,Long
2022-10-07,2022-11-03,17314.65,18052.7,-4.26,Short
2022-11-03,2023-01-04,18052.7,18042.95,-0.05,Long
2023-01-04,2023-04-26,18042.95,17813.6,1.27,Short
2023-04-26,2023-09-01,17813.6,19435.3,9.1,Long
2023-09-01,2023-09-15,19435.3,20192.35,-3.9,Short
2023-09-15,2023-10-25,20192.35,19122.15,-5.3,Long
2023-10-25,2023-11-30,19122.15,20133.15,-5.29,Short
2023-11-30,2024-10-24,20133.15,24399.4,21.19,Long
2024-10-24,2024-12-19,24399.4,23951.7,1.83,Short
