type,expiry,strike,IV,LTP,Volume
Call,03-Jul-2025,22800,0.0,2720.0,0
Put,03-Jul-2025,22800,33.56,0.9,503748
Call,03-Jul-2025,22850,0.0,2205.45,0
Put,03-Jul-2025,22850,32.81,0.85,139933
Call,03-Jul-2025,22900,0.0,2629.25,0
Put,03-Jul-2025,22900,32.94,1.05,82219
Call,03-Jul-2025,22950,0.0,2574.65,0
Put,03-Jul-2025,22950,32.21,1.0,36893
Call,03-Jul-2025,23000,0.0,2653.4,32
Put,03-Jul-2025,23000,32.1,1.15,193017
Call,03-Jul-2025,23050,0.0,2052.35,0
Put,03-Jul-2025,23050,31.39,1.1,25089
Call,03-Jul-2025,23100,0.0,2250.0,0
Put,03-Jul-2025,23100,31.1,1.2,83161
Call,03-Jul-2025,23150,0.0,1945.9,0
Put,03-Jul-2025,23150,31.03,1.4,20928
Call,03-Jul-2025,23200,46.91,2500.0,1
Put,03-Jul-2025,23200,30.2,1.3,71915
Call,03-Jul-2025,23250,0.0,1810.95,0
Put,03-Jul-2025,23250,29.5,1.25,24153
Call,03-Jul-2025,23300,0.0,2360.65,4
Put,03-Jul-2025,23300,28.8,1.2,56937
Call,03-Jul-2025,23350,0.0,1726.45,0
Put,03-Jul-2025,23350,28.92,1.5,25247
Call,03-Jul-2025,23400,0.0,1955.0,0
Put,03-Jul-2025,23400,28.44,1.55,67014
Call,03-Jul-2025,23450,0.0,2180.0,2
Put,03-Jul-2025,23450,27.96,1.6,25437
Call,03-Jul-2025,23500,0.0,2157.1,23
Put,03-Jul-2025,23500,27.46,1.65,239091
Call,03-Jul-2025,23550,0.0,1955.0,0
Put,03-Jul-2025,23550,26.97,1.7,26946
Call,03-Jul-2025,23600,0.0,1997.95,2
Put,03-Jul-2025,23600,26.29,1.65,104728
Call,03-Jul-2025,23650,0.0,1412.6,0
Put,03-Jul-2025,23650,25.79,1.7,36777
Call,03-Jul-2025,23700,0.0,1875.0,4
Put,03-Jul-2025,23700,25.2,1.7,140014
Call,03-Jul-2025,23750,0.0,1571.9,0
Put,03-Jul-2025,23750,25.08,2.0,37786
Call,03-Jul-2025,23800,0.0,1835.0,6
Put,03-Jul-2025,23800,24.63,2.1,180829
Call,03-Jul-2025,23850,0.0,1385.0,0
Put,03-Jul-2025,23850,24.23,2.25,71116
Call,03-Jul-2025,23900,25.81,1777.85,15
Put,03-Jul-2025,23900,23.94,2.5,220539
Call,03-Jul-2025,23950,0.0,1547.25,0
Put,03-Jul-2025,23950,23.44,2.6,47777
Call,03-Jul-2025,24000,0.0,1655.5,391
Put,03-Jul-2025,24000,22.88,2.7,405339
Call,03-Jul-2025,24050,0.0,1449.0,0
Put,03-Jul-2025,24050,22.53,2.9,45035
Call,03-Jul-2025,24100,20.7,1575.65,16
Put,03-Jul-2025,24100,22.1,3.1,144587
Call,03-Jul-2025,24150,0.0,1520.0,1
Put,03-Jul-2025,24150,21.65,3.3,50942
Call,03-Jul-2025,24200,0.0,1462.0,21
Put,03-Jul-2025,24200,21.48,3.85,295701
Call,03-Jul-2025,24250,0.0,1371.9,1
Put,03-Jul-2025,24250,20.79,3.8,66477
Call,03-Jul-2025,24300,0.0,1357.4,35
Put,03-Jul-2025,24300,20.55,4.25,247440
